respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.29,0.37
26708,0.06,0.06
26709,0.51,0.78
26710,0.48,0.69
26711,0.43,0.41
26712,0.6,0.7
26713,0.48,0.51
26714,0.31,0.28
26715,0.22,0.18
26716,0.2,0.71
26717,0.17,0.5
26718,0.47,0.53
26719,0.18,0.87
26720,0.09,0.23
26721,0.49,0.51
26722,0.17,0.19
26723,0.61,0.76
26724,0.14,0.77
26725,0.21,0.15
26726,0.22,0.2
26727,0.35,0.72
26728,0.38,0.45
26729,0.14,0.37
26730,0.19,0.33
26731,0.09,0.36
26732,0.2,0.21
26733,0.81,0.85
26734,0.63,0.53
26735,0.21,0.38
26736,0.16,0.18
26737,0.05,0.13
26738,0.66,0.73
26739,0.1,0.26
26740,0.3,0.26
26741,0.21,0.73
26742,0.03,0.54
26743,0.07,0.48
26744,0.11,0.63
26745,0.23,0.69
26746,0.2,0.31
26747,0.24,0.34
26748,0.26,0.18
26749,0.1,0.62
26750,0.77,0.87
26751,0.39,0.6
26752,0.25,0.14
26753,0.16,0.39
26754,0.24,0.34
26755,0.14,0.44
26756,0.09,0.17
26757,0.5,0.71
26758,0.56,0.76
26759,0.07,0.19
26760,0.17,0.11
26761,0.43,0.53
26762,0.19,0.63
26763,0.7,0.84
26764,0.66,0.86
26765,0.31,0.59
26766,0.27,0.32
26767,0.54,0.59
26768,0.17,0.44
26769,0.27,0.32
26770,0.25,0.58
26771,0.11,0.37
26772,0.22,0.45
26773,0.12,0.31
26774,0.13,0.44
26775,0.23,0.51
26776,0.4,0.43
26777,0.24,0.75
26778,0.27,0.15
26779,0.24,0.49
26780,0.27,0.87
26781,0.22,0.37
26782,0.11,0.47
26783,0.11,0.34
26784,0.4,0.73
26785,0.39,0.62
26786,0.15,0.28
26787,0.18,0.48
26788,0.2,0.85
26789,0.1,0.3
26790,0.13,0.27
26791,0.17,0.16
26792,0.31,0.63
26793,0.29,0.9
26794,0.65,0.76
26795,0.21,0.75
26796,0.09,0.07
26797,0.32,0.54
26798,0.33,0.24
26799,0.49,0.34
26800,0.17,0.8
26801,0.3,0.3
26802,0.12,0.34
26803,0.11,0.29
26804,0.17,0.13
26805,0.19,0.2
26806,0.18,0.84
26807,0.62,0.69
26808,0.37,0.43
26809,0.43,0.33
26810,0.13,0.19
26811,0.1,0.13
26812,0.21,0.65
26813,0.52,0.52
26814,0.17,0.63
26815,0.08,0.1
26816,0.22,0.29
26817,0.23,0.47
26818,0.22,0.37
26819,0.24,0.43
26820,0.18,0.2
26821,0.16,0.64
26822,0.23,0.65
26823,0.33,0.42
26824,0.16,0.64
26825,0.45,0.65
26826,0.21,0.65
26827,0.08,0.18
26828,0.28,0.41
26829,0.66,0.8
26830,0.18,0.7
26831,0.26,0.71
26832,0.14,0.8
26833,0.17,0.46
26834,0.32,0.62
26835,0.62,0.86
26836,0.26,0.66
26837,0.23,0.13
26838,0.27,0.53
26839,0.43,0.4
26840,0.15,0.22
26841,0.54,0.77
26842,0.05,0.4
26843,0.15,0.11
26844,0.18,0.4
26845,0.09,0.57
26846,0.11,0.59
26847,0.45,0.2
26848,0.31,0.57
26849,0.49,0.56
26850,0.65,0.57
26851,0.07,0.09
26852,0.06,0.15
26853,0.42,0.39
26854,0.05,0.2
26855,0.54,0.76
26856,0.39,0.29
26857,0.34,0.28
26858,0.46,0.57
26859,0.16,0.25
26860,0.32,0.25
26861,0.12,0.17
26862,0.2,0.44
26863,0.25,0.56
26864,0.34,0.35
26865,0.12,0.1
26866,0.15,0.4
26867,0.19,0.27
26868,0.52,0.65
26869,0.1,0.28
26870,0.63,0.78
26871,0.09,0.15
26872,0.24,0.43
26873,0.18,0.66
26874,0.1,0.17
26875,0.57,0.79
26876,0.19,0.17
26877,0.16,0.27
26878,0.27,0.3
26879,0.1,0.09
26880,0.19,0.26
26881,0.13,0.16
26882,0.1,0.2
26883,0.2,0.32
26884,0.12,0.21
26885,0.47,0.66
26886,0.24,0.73
26887,0.46,0.81
26888,0.86,0.78
26889,0.1,0.16
26890,0.28,0.56
26891,0.49,0.69
26892,0.23,0.61
26893,0.08,0.15
26894,0.26,0.24
26895,0.15,0.59
26896,0.1,0.11
26897,0.09,0.47
26898,0.19,0.47
26899,0.15,0.19
26900,0.09,0.31
26901,0.22,0.41
26902,0.37,0.76
26903,0.36,0.25
26904,0.23,0.34
26905,0.47,0.79
26906,0.12,0.37
26907,0.21,0.54
26908,0.24,0.57
26909,0.21,0.23
26910,0.25,0.41
26911,0.11,0.21
26912,0.38,0.82
26913,0.7,0.74
26914,0.14,0.32
26915,0.3,0.61
26916,0.22,0.32
26917,0.09,0.23
26918,0.73,0.86
26919,0.24,0.55
26920,0.08,0.26
26921,0.2,0.79
26922,0.08,0.75
26923,0.21,0.45
26924,0.76,0.84
26925,0.21,0.69
26926,0.38,0.42
26927,0.35,0.47
26928,0.12,0.48
26929,0.15,0.34
26930,0.55,0.62
26931,0.19,0.45
26932,0.19,0.91
26933,0.12,0.5
26934,0.58,0.65
26935,0.29,0.46
26936,0.49,0.27
26937,0.48,0.73
26938,0.22,0.13
